Title,Gross,Theaters,Date,Distributor
Barbie,"$636,225,983","4,337",Jul 21,Warner Bros.
The Super Mario Bros. Movie,"$574,934,330","4,371",Apr 5,Universal Pictures
Spider-Man: Across the Spider-Verse,"$381,311,319","4,332",Jun 2,Columbia Pictures
Guardians of the Galaxy Vol. 3,"$358,995,815","4,450",May 5,Walt Disney Studios Motion Pictures
Oppenheimer,"$326,101,370","3,761",Jul 21,Universal Pictures
The Little Mermaid,"$298,172,056","4,320",May 26,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,"$283,067,859","4,340",Dec 16,20th Century Studios
Ant-Man and the Wasp: Quantumania,"$214,504,909","4,345",Feb 17,Walt Disney Studios Motion Pictures
John Wick: Chapter 4,"$187,131,806","3,855",Mar 24,Lionsgate Films
Sound of Freedom,"$184,177,725","3,411",Jul 4,Angel Studios
Taylor Swift: The Eras Tour,"$179,817,571","3,855",Oct 13,NA
Indiana Jones and the Dial of Destiny,"$174,480,468","4,600",Jun 30,Walt Disney Studios Motion Pictures
Mission: Impossible - Dead Reckoning Part One,"$172,135,383","4,327",Jul 12,Paramount Pictures
The Hunger Games: The Ballad of Songbirds & Snakes,"$159,719,625","3,776",Nov 17,Lionsgate Films
Transformers: Rise of the Beasts,"$157,066,392","3,680",Jun 9,Paramount Pictures
Creed III,"$156,248,615","4,007",Mar 3,United Artists Releasing
Elemental,"$154,426,697","4,035",Jun 16,Walt Disney Studios Motion Pictures
Fast X,"$146,126,015","4,088",May 19,Universal Pictures
Five Nights at Freddy's,"$137,275,620","3,789",Oct 27,Universal Pictures International (UPI)
Wonka,"$133,129,902","4,213",Dec 15,Warner Bros.
Puss in Boots: The Last Wish,"$130,425,380","4,121",Dec 21,Universal Pictures
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586","3,950",Aug 2,Paramount Pictures
Scream VI,"$108,161,389","3,676",Mar 10,Paramount Pictures
The Flash,"$108,133,313","4,256",Jun 16,Warner Bros.
Trolls Band Together,"$96,370,205","3,893",Nov 17,Universal Pictures
M3GAN,"$95,159,005","3,628",Jan 6,Universal Pictures
Dungeons & Dragons: Honor Among Thieves,"$93,277,026","3,856",Mar 31,Paramount Pictures
The Equalizer 3,"$92,373,751","3,965",Sep 1,Columbia Pictures
The Nun II,"$86,267,073","3,743",Sep 8,Warner Bros.
The Marvels,"$84,479,155","4,030",Nov 10,Walt Disney Studios Motion Pictures
Meg 2: The Trench,"$82,600,317","3,604",Aug 4,Warner Bros.
Insidious: The Red Door,"$82,156,962","3,188",Jul 7,Screen Gems
Aquaman and the Lost Kingdom,"$76,469,713","3,787",Dec 22,Warner Bros.
Blue Beetle,"$72,488,072","3,871",Aug 18,Warner Bros.
