,hotel,urls,reviewer,review_overall,title,text,ReviewerValue,ReviewerLocation,ReviewerService,ReviewerRooms,ReviewerCleanliness,ReviewerSleepQuality,Date of Stay,Trip Type,Contributions,Helpful Vote
0,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jen H ,5.0,Manny the Man,"The London House Cupola is breathtaking and the perfect private place for a romantic proposal. We were blown away by Manny's ability to pull a proposal off...down to every single detail. Kind, discreet and lots of fun! We could not have enjoyed our day more! Thanks to Manny, Lindsay and Sid as well as the beautiful music!",,,,,,,December 2021,,4,1.0
1,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,CorMom ,5.0,Amazing Views and Location,"We stayed here for a family vacation to go to a baseball game and do touristy things. We stayed in a room with a river view and it was absolutely amazing. We went up to the rooftop bar and the view from our room was actually better. We found the rooftop to be overpriced and felt very touristy as opposed to people staying in the hotel. The room itself was spacious and clean, loved the robes. Unfortunately it had a door to adjoin the room next door and the couple next door had a late night argument that sounded like it was in our room. However, the location of the hotel is perfect for River Walk activities as well as walking up Michigan Ave for shopping. We ate in two of the restaurants in the hotel and were happy with them. There is no business center and I sat in the lobby in the early morning to do some work and it was a bit noisy and crowded. Overall, highly recommend.",5.0,5.0,5.0,,,,August 2021,,98,79.0
2,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,K W ,5.0,Phenomenal Service,I had a wonderful time at the Londonhouse. So great that I booked twice in one week for the holidays along with my wife's birthday. Special shout to Saif and Nicole T making me feel right at home. I am originally born and raised in Chicago and its nothing better than visiting back home and being treated like a human being. These guys are not lost in the nonsense going on in this world right now. They are dedicated individuals to making sure everyone who walks in that door is good to go and therefore they will forever be blessed!,5.0,,5.0,5.0,,,December 2021,,1,
3,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Daniel L ,5.0,Great hotel in a great location!,"We chose this hotel because it offered great views of the Chicago River and the New Year fireworks! We were very happy with the accommodations and the entire staff was very courteous and helpful. There are many hotels in the area, but I am very happy we chose the LondonHouse!",5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,70,6.0
4,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Himan ,5.0,Great customer service,"I had a great time at LondonHouse. The staff, especially Corey when checking in, were all friendly and helpful. It has great amenities and felt clean and safe to stay. Overall, I would highly recommend staying at this beautiful location.",5.0,,5.0,,,5.0,January 2022,,1,
5,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or5-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,tr0sin ,5.0,Great trip!,My niece’s first trip to Chicago! Great atmosphere and location. Service was great and staff was very friendly and accommodating. Location was perfect for our itinerary and the views from our room were perfect.,5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,1,
6,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or5-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,infoC9554JQ ,5.0,Clean. Great location.,"Loved our stay. Room with a River view was amazing, spacious & clean. Felt safe and the location was perfect to walk about the city. The only bummer comment would be that early morning room service wasn’t available due to pandemic circumstances - understandable.",5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,1,
7,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or5-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,JIDNYESH S ,5.0,Excellent location for a proposal.,The LH cupola is an amazing location for a proposal. Manny was very friendly and everything was just up to the mark. The location is so beautiful and perfect for the occasion. Thank you. We had a very good time.,,,,,,,December 2021,,1,
8,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or5-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,TheQueenBee123 ,5.0,Nice hotel in a great location,"We stayed here for one night in late December.  The location cannot be beat.  Valet was quick and easy, as was the check-in process.  All of the staff were extremely friendly.  The rooms are nice and comfortable. We stayed here because of the location, and we were not disappointed.  Close to great restaurants, shopping and theaters.  All walking distance, even in the cold weather.  The river and city views were spectacular from our 8th floor room.",5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,5,
9,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or5-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,JamieFife ,5.0,Those views…,Excellent hotel in a great location. The views were unbelievable day and night from our vista king room. The price was reasonable for a weekend and the room exceeded our expectations and it is clear why this is the number one rated hotel in Chicago. The rooftop bar that is the main attraction was slightly too ‘instagrammy’ for our tastes but this had no effect on or stay or should put off any other types of people from staying in this fab hotel!,,,,,,,December 2021,Traveled as a couple,37,43.0
