Title,Gross,Theaters,Date,Distributor
Top Gun: Maverick,"$718,318,561","4,751",May 27,Paramount Pictures
Black Panther: Wakanda Forever,"$436,499,646","4,396",Nov 11,Walt Disney Studios Motion Pictures
Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534",May 6,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,"$401,007,908","4,340",Dec 16,20th Century Studios
Jurassic World Dominion,"$376,851,080","4,697",Jun 10,Universal Pictures
Minions: The Rise of Gru,"$369,695,210","4,427",Jul 1,Universal Pictures
The Batman,"$369,345,583","4,417",Mar 4,Warner Bros.
Thor: Love and Thunder,"$343,256,830","4,375",Jul 8,Walt Disney Studios Motion Pictures
Spider-Man: No Way Home,"$231,808,708","4,336",Dec 17,Sony Pictures Releasing
Sonic the Hedgehog 2,"$190,872,904","4,258",Apr 8,Paramount Pictures
Black Adam,"$168,054,237","4,402",Oct 21,Warner Bros.
Elvis,"$151,040,048","3,932",Jun 24,Warner Bros.
Uncharted,"$148,649,929","4,275",Feb 18,Sony Pictures Releasing
Nope,"$123,277,080","3,807",Jul 22,Universal Pictures
Lightyear,"$118,307,188","4,255",Jun 17,Walt Disney Studios Motion Pictures
Smile,"$105,935,048","3,659",Sep 30,Paramount Pictures
The Lost City,"$105,344,029","4,283",Mar 25,Paramount Pictures
Bullet Train,"$103,368,602","4,357",Aug 5,Sony Pictures Releasing
The Bad Guys,"$97,233,630","4,042",Apr 22,Universal Pictures
Fantastic Beasts: The Secrets of Dumbledore,"$95,850,844","4,245",Apr 15,Warner Bros.
DC League of Super-Pets,"$93,657,117","4,332",Jul 29,Warner Bros.
Where the Crawdads Sing,"$90,230,760","3,650",Jul 15,Sony Pictures Releasing
The Black Phone,"$90,123,230","3,156",Jun 24,Universal Pictures
Sing 2,"$86,307,835","3,892",Dec 22,Universal Pictures
Scream,"$81,641,405","3,666",Jan 14,Paramount Pictures
Morbius,"$73,865,530","4,268",Apr 1,Columbia Pictures
Everything Everywhere All at Once,"$68,649,964","2,220",Mar 25,A24
Ticket to Paradise,"$68,205,760","4,066",Oct 21,Universal Pictures
The Woman King,"$67,178,268","3,765",Sep 16,TriStar Pictures
Halloween Ends,"$64,079,860","3,901",Oct 14,Universal Pictures
Dog,"$61,778,069","3,827",Feb 18,United Artists Releasing
Jackass Forever,"$57,743,451","3,653",Feb 4,Paramount Pictures
Puss in Boots: The Last Wish,"$55,665,155","4,121",Dec 21,Universal Pictures
Violent Night,"$46,778,450","3,723",Dec 2,Universal Pictures
"Lyle, Lyle, Crocodile","$46,703,141","4,350",Oct 7,Sony Pictures Releasing
Death on the Nile,"$45,630,104","3,420",Feb 11,20th Century Studios
Don't Worry Darling,"$45,309,403","4,121",Sep 23,Warner Bros.
Downton Abbey: A New Era,"$44,141,550","3,830",May 20,Focus Features
Barbarian,"$40,842,944","2,890",Sep 9,20th Century Studios
Dragon Ball Super: Super Hero,"$38,112,140","3,018",Aug 19,Crunchyroll
Strange World,"$36,848,924","4,174",Nov 23,Walt Disney Studios Motion Pictures
The Menu,"$35,721,551","3,228",Nov 18,Searchlight Pictures
Jujutsu Kaisen 0,"$34,542,754","2,418",Mar 18,Crunchyroll
The Northman,"$34,233,110","3,284",Apr 22,Focus Features
The Bob's Burgers Movie,"$31,933,830","3,425",May 27,20th Century Studios
Beast,"$31,846,530","3,754",Aug 19,Universal Pictures
The Invitation,"$25,100,080","3,117",Aug 26,Sony Pictures Releasing
Avatar,"$24,714,024","2,040",Sep 23,Walt Disney Pictures
Ambulance,"$22,781,115","3,412",Apr 8,Universal Pictures
Marry Me,"$22,438,180","3,643",Feb 11,Universal Pictures
The King's Man,"$20,917,649","3,180",Dec 22,20th Century Studios
Father Stu,"$20,884,796","2,705",Apr 13,Sony Pictures Releasing
The Unbearable Weight of Massive Talent,"$20,300,157","3,036",Apr 22,Lionsgate Films
Devotion,"$19,837,942","3,458",Nov 23,Columbia Pictures
Prey for the Devil,"$19,802,293","2,980",Oct 28,Lionsgate Films
Moonfall,"$19,060,660","3,446",Feb 4,Lionsgate Films
Paws of Fury: The Legend of Hank,"$17,811,382","3,481",Jul 15,Paramount Pictures
Amsterdam,"$14,947,969","3,005",Oct 7,Walt Disney Studios Motion Pictures
The Chosen Season 3: Episode 1 & 2,"$14,612,089","2,021",Nov 18,Fathom Events
The 355,"$14,570,455","3,145",Jan 7,Universal Pictures
American Underdog,"$14,301,214","2,813",Dec 25,Lionsgate Films
Glass Onion,"$13,280,000",696,Nov 23,Netflix
Whitney Houston: I Wanna Dance with Somebody,"$13,256,913","3,625",Dec 23,TriStar Pictures
Easter Sunday,"$13,013,690","3,176",Aug 5,Universal Pictures
One Piece Film: Red,"$12,775,324","2,367",Nov 4,Crunchyroll
Licorice Pizza,"$11,873,858","1,977",Nov 26,United Artists Releasing
The Fabelmans,"$11,807,395","1,962",Nov 11,Universal Pictures
X,"$11,765,309","2,920",Mar 18,A24
Bros,"$11,628,165","3,356",Sep 30,Universal Pictures
Bodies Bodies Bodies,"$11,446,602","2,541",Aug 5,A24
RRR,"$11,113,000","1,200",Mar 25,Sarigama Cinemas
Terrifier 2,"$10,640,105","1,550",Oct 6,Cinedigm Entertainment Group
Mrs. Harris Goes to Paris,"$10,433,915","1,001",Jul 15,Focus Features
West Side Story,"$10,361,074","2,820",Dec 10,20th Century Studios
Firestarter,"$9,739,250","3,413",May 13,Universal Pictures
Blacklight,"$9,591,094","2,772",Feb 11,Briarcliff Entertainment
See How They Run,"$9,586,237","2,502",Sep 16,Walt Disney Studios Motion Pictures
The Matrix Resurrections,"$9,552,171","3,552",Dec 22,Warner Bros.
Pearl,"$9,423,445","2,982",Sep 16,A24
Spider-Man: No Way Home,"$9,321,593","3,935",Sep 2,Sony Pictures Releasing
Redeeming Love,"$9,214,020","1,963",Jan 21,Universal Pictures
Babylon,"$9,082,897","3,351",Dec 23,Paramount Pictures
The Banshees of Inisherin,"$9,026,965","1,205",Oct 21,Searchlight Pictures
Till,"$9,000,202","2,136",Oct 14,United Artists Releasing
Three Thousand Years of Longing,"$8,286,741","2,436",Aug 26,United Artists Releasing
Brahmastra Part One: Shiva,"$7,839,108",810,Sep 9,Walt Disney Studios Motion Pictures
